wavenumber / cm^-1,absorbance / a.u.
985.447,15.3367
986.411,22.5378
987.375,14.70721
988.339,22.5379
989.304,12.85855
990.268,22.53768
991.232,14.32613
992.196,22.53778
993.16,14.23034
994.125,22.53779
995.089,13.97154
996.053,22.53782
997.017,13.37638
997.982,22.53777
998.946,13.49661
999.91,22.53776
1000.874,13.76361
1001.839,22.53771
1002.803,13.90842
1003.767,22.53778
1004.731,13.1943
1005.696,22.52841
1006.66,13.30645
1007.624,22.53779
1008.588,13.01912
1009.552,22.52159
1010.517,13.40149
1011.481,22.53776
1012.445,13.50379
1013.409,22.52511
1014.374,14.19841
1015.338,22.5362
1016.302,22.5383
1017.266,22.52736
1018.231,14.3023
1019.195,22.53764
1020.159,14.81926
1021.123,22.52978
1022.087,14.64326
1023.052,22.53696
1024.016,17.21472
1024.98,22.53778
1025.944,22.53778
1026.909,22.53778
1027.873,22.53778
1028.837,22.53778
1029.801,22.53778
1030.766,22.53778
1031.73,22.53778
1032.694,22.53778
1033.658,22.53778
1034.623,22.53778
1035.587,22.53955
1036.551,15.53199
1037.515,22.52938
1038.479,14.25599
1039.444,22.53795
1040.408,13.58268
1041.372,22.52965
1042.336,14.52254
1043.301,22.53792
1044.265,14.14299
1045.229,22.53339
1046.193,13.87534
1047.158,22.53775
1048.122,13.95477
1049.086,22.53778
1050.05,13.68845
1051.014,22.53761
1051.979,14.02316
1052.943,22.53778
1053.907,13.7479
1054.871,22.52109
1055.836,14.29469
1056.8,22.53788
1057.764,13.52596
1058.728,22.52549
1059.693,14.44404
1060.657,22.53778
1061.621,14.48829
1062.585,22.52644
1063.55,15.0679
1064.514,22.53804
1065.478,14.02068
1066.442,22.52992
1067.406,14.77985
1068.371,22.5377
1069.335,15.08509
1070.299,22.5312
1071.263,16.04747
1072.228,22.53802
1073.192,15.40439
1074.156,22.53352
1075.12,14.13398
1076.085,22.53731
1077.049,15.37425
1078.013,22.53346
1078.977,14.01782
1079.942,22.53691
1080.906,15.72322
1081.87,22.53778
1082.834,15.32164
1083.798,22.52127
1084.763,14.37725
1085.727,22.53773
1086.691,14.78156
1087.655,22.52584
1088.62,14.67044
1089.584,22.53782
1090.548,14.34561
1091.512,22.53122
1092.477,18.21872
1093.441,22.53839
1094.405,15.80243
1095.369,22.53117
1096.333,16.01443
1097.298,22.53808
1098.262,14.81534
1099.226,22.53125
1100.19,16.09339
1101.155,22.53842
1102.119,14.38981
1103.083,22.53567
1104.047,18.38414
1105.012,22.53882
1105.976,15.62029
1106.94,22.53442
1107.904,15.90604
1108.869,22.53694
1109.833,17.55138
1110.797,22.53778
1111.761,14.94221
1112.725,22.52732
1113.69,17.36681
1114.654,22.53792
1115.618,16.22451
1116.582,22.52844
1117.547,16.38145
1118.511,22.53776
1119.475,16.51531
1120.439,22.52712
1121.404,15.51937
1122.368,22.53731
1123.332,17.37017
1124.296,22.53516
1125.26,19.95582
1126.225,22.53712
1127.189,22.53778
1128.153,22.53082
1129.117,15.67506
1130.082,22.53616
1131.046,19.95089
1132.01,22.53778
1132.974,22.53778
1133.939,22.53778
1134.903,22.53778
1135.867,22.53478
1136.831,16.62983
1137.796,22.53823
1138.76,15.73877
1139.724,22.53778
1140.688,22.53778
1141.652,22.53778
1142.617,22.53778
1143.581,22.53778
1144.545,22.53778
1145.509,22.53778
1146.474,22.53778
1147.438,22.53778
1148.402,22.5384
1149.366,22.53027
1150.331,17.58987
1151.295,22.53652
1152.259,22.53778
1153.223,22.53446
1154.187,19.26138
1155.152,22.53695
1156.116,22.53778
1157.08,22.53778
1158.044,22.53778
1159.009,22.53778
1159.973,22.53778
1160.937,22.53506
1161.901,17.1488
1162.866,22.53574
1163.83,22.53778
1164.794,22.53671
1165.758,20.42606
1166.723,22.53672
1167.687,22.53778
1168.651,22.53778
1169.615,17.45547
1170.579,22.53778
1171.544,22.53778
1172.508,22.53778
1173.472,22.53778
1174.436,22.53778
1175.401,22.53778
1176.365,22.53778
1177.329,22.53788
1178.293,22.53651
1179.258,21.70393
1180.222,22.53757
1181.186,22.53778
1182.15,22.53778
1183.114,22.53778
1184.079,22.53778
1185.043,22.53778
1186.007,22.53525
1186.971,20.05028
1187.936,22.53683
1188.9,22.53778
1189.864,22.53599
1190.828,19.00767
1191.793,22.53644
1192.757,22.53778
1193.721,22.53778
1194.685,22.53818
1195.65,22.53858
1196.614,20.9575
1197.578,22.53778
1198.542,22.53856
1199.506,22.53155
1200.471,19.46246
1201.435,22.53739
1202.399,22.53822
1203.363,22.5325
1204.328,19.06225
1205.292,22.53734
1206.256,22.5383
1207.22,22.53146
1208.185,18.37594
1209.149,22.53672
1210.113,22.53778
1211.077,22.53149
1212.042,16.33555
1213.006,22.53742
1213.97,17.77366
1214.934,22.53339
1215.898,18.20882
1216.863,22.5373
1217.827,19.47359
1218.791,22.53778
1219.755,22.53895
1220.72,22.53895
1221.684,19.46026
1222.648,22.53778
1223.612,22.53924
1224.577,22.5407
1225.541,16.75683
1226.505,22.53778
1227.469,22.53778
1228.433,22.53778
1229.398,22.53778
1230.362,22.53778
1231.326,22.53832
1232.29,22.53123
1233.255,18.22618
1234.219,22.53804
1235.183,16.15694
1236.147,22.52771
1237.112,15.90599
1238.076,22.5361
1239.04,22.53778
1240.004,22.53149
1240.969,16.33561
1241.933,22.5371
1242.897,19.02621
1243.861,22.53233
1244.825,17.15705
1245.79,22.53574
1246.754,22.53778
1247.718,22.53549
1248.682,18.01965
1249.647,22.53832
1250.611,16.58711
1251.575,22.53449
1252.539,16.04869
1253.504,22.5379
1254.468,15.79546
1255.432,22.53778
1256.396,18.29261
1257.36,22.52839
1258.325,17.90181
1259.289,22.53778
1260.253,15.68733
1261.217,22.52736
1262.182,15.67324
1263.146,22.53792
1264.11,14.62992
1265.074,22.52647
1266.039,13.93976
1267.003,17.94126
1267.967,13.48768
1268.931,14.36185
1269.896,12.45746
1270.86,12.5147
1271.824,11.52486
1272.788,11.50661
1273.752,10.79788
1274.717,10.61998
1275.681,10.10442
1276.645,9.895535
1277.609,9.435228
1278.574,9.223989
1279.538,8.859866
1280.502,8.655322
1281.466,8.335669
1282.431,8.137239
1283.395,7.863129
1284.359,7.67287
1285.323,7.428061
1286.287,7.253158
1287.252,7.037928
1288.216,6.87598
1289.18,6.679793
1290.144,6.530747
1291.109,6.356909
1292.073,6.218779
1293.037,6.060115
1294.001,5.93086
1294.966,5.78551
1295.93,5.667692
1296.894,5.53379
1297.858,5.422107
1298.823,5.300627
1299.787,5.197008
1300.751,5.08303
1301.715,4.986872
1302.679,4.882546
1303.644,4.793135
1304.608,4.695771
1305.572,4.611368
1306.536,4.520592
1307.501,4.442821
1308.465,4.35873
1309.429,4.28478
1310.393,4.206235
1311.358,4.137886
1312.322,4.063417
1313.286,3.9975
1314.25,3.928335
1315.214,3.867075
1316.179,3.802105
1317.143,3.74411
1318.107,3.682803
1319.071,3.627597
1320.036,3.569511
1321.0,3.518187
1321.964,3.463644
1322.928,3.41515
1323.893,3.363989
1324.857,3.317712
1325.821,3.26923
1326.785,3.225438
1327.75,3.179412
1328.714,3.138071
1329.678,3.09457
1330.642,3.055279
1331.606,3.014172
1332.571,2.977254
1333.535,2.938425
1334.499,2.903715
1335.463,2.867368
1336.428,2.834523
1337.392,2.799664
1338.356,2.768506
1339.32,2.735719
1340.285,2.705875
1341.249,2.674298
1342.213,2.64636
1343.177,2.616953
1344.142,2.590295
1345.106,2.562277
1346.07,2.53734
1347.034,2.511077
1347.998,2.48766
1348.963,2.463299
1349.927,2.441053
1350.891,2.417467
1351.855,2.396371
1352.82,2.374028
1353.784,2.354375
1354.748,2.33353
1355.712,2.314855
1356.677,2.29498
1357.641,2.277215
1358.605,2.25844
1359.569,2.242235
1360.533,2.224992
1361.498,2.209306
1362.462,2.192822
1363.426,2.177838
1364.39,2.161915
1365.355,2.148155
1366.319,2.133112
1367.283,2.120198
1368.247,2.106015
1369.212,2.093447
1370.176,2.079873
1371.14,2.06803
1372.104,2.055317
1373.069,2.044333
1374.033,2.032133
1374.997,2.02147
1375.961,2.009859
1376.925,1.999515
1377.89,1.988364
1378.854,1.978861
1379.818,1.968249
1380.782,1.958896
1381.747,1.948564
1382.711,1.939682
1383.675,1.92978
1384.639,1.921227
1385.604,1.911844
1386.568,1.903942
1387.532,1.89441
1388.496,1.885798
1389.46,1.876916
1390.425,1.869113
1391.389,1.860321
1392.353,1.852699
1393.317,1.844457
1394.282,1.837043
1395.246,1.828491
1396.21,1.821349
1397.174,1.813158
1398.139,1.806244
1399.103,1.798112
1400.067,1.79085
1401.031,1.782928
1401.996,1.775836
1402.96,1.768022
1403.924,1.76126
1404.888,1.753448
1405.852,1.746427
1406.817,1.738903
1407.781,1.732381
1408.745,1.725039
1409.709,1.718527
1410.674,1.711303
1411.638,1.705101
1412.602,1.69795
1413.566,1.691658
1414.531,1.684753
1415.495,1.678662
1416.459,1.67186
1417.423,1.665868
1418.387,1.659417
1419.352,1.653293
1420.316,1.646201
1421.28,1.640679
1422.244,1.634088
1423.209,1.628622
1424.173,1.622321
1425.137,1.616729
1426.101,1.610698
1427.066,1.605443
1428.03,1.599751
1428.994,1.59507
1429.958,1.589659
1430.923,1.585027
1431.887,1.580011
1432.851,1.57591
1433.815,1.571349
1434.779,1.567468
1435.744,1.563381
1436.708,1.56009
1437.672,1.5558
1438.636,1.552859
1439.601,1.549401
1440.565,1.54677
1441.529,1.54387
1442.493,1.541669
1443.458,1.538871
1444.422,1.536911
1445.386,1.53463
1446.35,1.533109
1447.314,1.53133
1448.279,1.53034
1449.243,1.52856
1450.207,1.52771
1451.171,1.52647
1452.136,1.52599
1453.1,1.52485
1454.064,1.52436
1455.028,1.52333
1455.993,1.522581
1456.957,1.52064
1457.921,1.51934
1458.885,1.51737
1459.85,1.515579
1460.814,1.513371
1461.778,1.51201
1462.742,1.51025
1463.706,1.508939
1464.671,1.506861
1465.635,1.50539
1466.599,1.50359
1467.563,1.502379
1468.528,1.500471
1469.492,1.499
1470.456,1.49713
1471.42,1.495809
1472.385,1.494011
1473.349,1.49289
1474.313,1.49116
1475.277,1.49013
1476.242,1.48897
1477.206,1.48827
1478.17,1.48717
1479.134,1.48673
1480.098,1.48593
1481.063,1.4859
1482.027,1.48534
1482.991,1.48547
1483.955,1.48532
1484.92,1.48578
1485.884,1.48594
1486.848,1.48687
1487.812,1.4876
1488.777,1.48865
1489.741,1.48897
1490.705,1.48881
1491.669,1.48705
1492.633,1.485219
1493.598,1.482631
1494.562,1.48067
1495.526,1.47836
1496.49,1.476559
1497.455,1.474551
1498.419,1.47311
1499.383,1.47128
1500.347,1.4704
1501.312,1.46929
1502.276,1.46873
1503.24,1.4679
1504.204,1.46755
1505.169,1.46654
1506.133,1.46696
1507.097,1.46687
1508.061,1.46682
1509.025,1.46612
1509.99,1.46572
1510.954,1.46479
1511.918,1.46468
1512.882,1.4638
1513.847,1.46313
1514.811,1.46236
1515.775,1.46173
1516.739,1.46063
1517.704,1.459629
1518.668,1.45793
1519.632,1.45676
1520.596,1.45498
1521.56,1.453229
1522.525,1.451161
1523.489,1.44916
1524.453,1.44682
1525.417,1.444709
1526.382,1.441981
1527.346,1.43965
1528.31,1.43665
1529.274,1.433849
1530.239,1.430991
1531.203,1.428701
1532.167,1.42591
1533.131,1.423429
1534.096,1.420479
1535.06,1.418031
1536.024,1.41526
1536.988,1.41273
1537.952,1.410079
1538.917,1.407861
1539.881,1.40521
1540.845,1.40291
1541.809,1.400509
1542.774,1.398561
1543.738,1.3966
1544.702,1.39474
1545.666,1.39237
1546.631,1.390369
1547.595,1.38822
1548.559,1.38635
1549.523,1.38481
1550.487,1.383259
1551.452,1.38106
1552.416,1.37932
1553.38,1.37746
1554.344,1.376179
1555.309,1.37462
1556.273,1.37315
1557.237,1.37114
1558.201,1.37013
1559.166,1.36922
1560.13,1.36798
1561.094,1.36644
1562.058,1.36578
1563.023,1.36468
1563.987,1.36397
1564.951,1.36327
1565.915,1.36269
1566.879,1.36188
1567.844,1.36151
1568.808,1.36119
1569.772,1.36135
1570.736,1.36127
1571.701,1.36144
1572.665,1.36149
1573.629,1.362
1574.593,1.3624
1575.558,1.36279
1576.522,1.36392
1577.486,1.36543
1578.45,1.3663
1579.414,1.367509
1580.379,1.36897
1581.343,1.37071
1582.307,1.372521
1583.271,1.374741
1584.236,1.37668
1585.2,1.37893
1586.164,1.381291
1587.128,1.383891
1588.093,1.386499
1589.057,1.38949
1590.021,1.392591
1590.985,1.396031
1591.95,1.399609
1592.914,1.40347
1593.878,1.40753
1594.842,1.411961
1595.806,1.416388
1596.771,1.421169
1597.735,1.42614
1598.699,1.431371
1599.663,1.436733
1600.628,1.442418
1601.592,1.448169
1602.556,1.454331
1603.52,1.460702
1604.485,1.467217
1605.449,1.473909
1606.413,1.481091
1607.377,1.488573
1608.342,1.496186
1609.306,1.503918
1610.27,1.51181
1611.234,1.519582
1612.198,1.527624
1613.163,1.535488
1614.127,1.54351
1615.091,1.550961
1616.055,1.557743
1617.02,1.566587
1617.984,1.574929
1618.948,1.582341
1619.912,1.590153
1620.877,1.597657
1621.841,1.605289
1622.805,1.61262
1623.769,1.620272
1624.733,1.627087
1625.698,1.633558
1626.662,1.63998
1627.626,1.646842
1628.59,1.653503
1629.555,1.659848
1630.519,1.666109
1631.483,1.672511
1632.447,1.678833
1633.412,1.685298
1634.376,1.690839
1635.34,1.697291
1636.304,1.703952
1637.269,1.709867
1638.233,1.715359
1639.197,1.72084
1640.161,1.725981
1641.125,1.731243
1642.09,1.735989
1643.054,1.7405
1644.018,1.744781
1644.982,1.748671
1645.947,1.752319
1646.911,1.75686
1647.875,1.76029
1648.839,1.763241
1649.804,1.765869
1650.768,1.76866
1651.732,1.77011
1652.696,1.771291
1653.66,1.773919
1654.625,1.77575
1655.589,1.7762
1656.553,1.77668
1657.517,1.77666
1658.482,1.77652
1659.446,1.7759
1660.41,1.77501
1661.374,1.773719
1662.339,1.771801
1663.303,1.76912
1664.267,1.76695
1665.231,1.764019
1666.196,1.760992
1667.16,1.757521
1668.124,1.75416
1669.088,1.749329
1670.052,1.744618
1671.017,1.740561
1671.981,1.73558
1672.945,1.730349
1673.909,1.725678
1674.874,1.720002
1675.838,1.713961
1676.802,1.708919
1677.766,1.703488
1678.731,1.697792
1679.695,1.692421
1680.659,1.6863
1681.623,1.680739
1682.587,1.675542
1683.552,1.670721
1684.516,1.66416
1685.48,1.657609
1686.444,1.653798
1687.409,1.649272
1688.373,1.644571
1689.337,1.640009
1690.301,1.635278
1691.266,1.630752
1692.23,1.62667
1693.194,1.6228
1694.158,1.619469
1695.123,1.615772
1696.087,1.611201
1697.051,1.60886
1698.015,1.606309
1698.979,1.603578
1699.944,1.600491
1700.908,1.59747
1701.872,1.59579
1702.836,1.593889
1703.801,1.591701
1704.765,1.58993
1705.729,1.58817
1706.693,1.586549
1707.658,1.58494
1708.622,1.58373
1709.586,1.58258
1710.55,1.58155
1711.514,1.580521
1712.479,1.57977
1713.443,1.57938
1714.407,1.57908
1715.371,1.5785
1716.336,1.57827
1717.3,1.57778
1718.264,1.57789
1719.228,1.57746
1720.193,1.57736
1721.157,1.57737
1722.121,1.57757
1723.085,1.57784
1724.05,1.57813
1725.014,1.57815
1725.978,1.57858
1726.942,1.57889
1727.906,1.57927
1728.871,1.57957
1729.835,1.58
1730.799,1.58003
1731.763,1.58035
1732.728,1.58048
1733.692,1.58065
1734.656,1.58026
1735.62,1.58
1736.585,1.57971
1737.549,1.57932
1738.513,1.57869
1739.477,1.57781
1740.442,1.57677
1741.406,1.57594
1742.37,1.57475
1743.334,1.57373
1744.298,1.572219
1745.263,1.57066
1746.227,1.56905
1747.191,1.56744
1748.155,1.565459
1749.12,1.563421
1750.084,1.56131
1751.048,1.55919
1752.012,1.556579
1752.977,1.554531
1753.941,1.552181
1754.905,1.55004
1755.869,1.54814
1756.833,1.546099
1757.798,1.5439
1758.762,1.54202
1759.726,1.53999
1760.69,1.538399
1761.655,1.536741
1762.619,1.53529
1763.583,1.53408
1764.547,1.53287
1765.512,1.53193
1766.476,1.53127
1767.44,1.53079
1768.404,1.53047
1769.369,1.53009
1770.333,1.53004
1771.297,1.53028
1772.261,1.53042
1773.225,1.530811
1774.19,1.5321
1775.154,1.53317
1776.118,1.53441
1777.082,1.535801
1778.047,1.537659
1779.011,1.53964
1779.975,1.54187
1780.939,1.544261
1781.904,1.546749
1782.868,1.549429
1783.832,1.55261
1784.796,1.555991
1785.76,1.559462
1786.725,1.562979
1787.689,1.56681
1788.653,1.570981
1789.617,1.575302
1790.582,1.579908
1791.546,1.584599
1792.51,1.589291
1793.474,1.594442
1794.439,1.599538
1795.403,1.605059
1796.367,1.610761
1797.331,1.616571
1798.296,1.622397
1799.26,1.628518
1800.224,1.63487
1801.188,1.641422
1802.152,1.648203
