Raman shift / cm^-1,Counts
1174.97,901.0
1176.59,909.0
1178.21,927.0
1179.83,937.0
1181.45,891.0
1183.06,915.0
1184.68,925.0
1186.3,929.0
1187.92,895.0
1189.54,919.0
1191.15,919.0
1192.77,929.0
1194.39,941.0
1196.0,941.0
1197.62,949.0
1199.24,911.0
1200.85,971.0
1202.47,977.0
1204.08,953.0
1205.7,941.0
1207.31,1013.0
1208.92,955.0
1210.54,987.0
1212.15,891.0
1213.77,965.0
1215.38,987.0
1216.99,951.0
1218.6,999.0
1220.21,959.0
1221.82,953.0
1223.44,995.0
1225.05,1011.0
1226.66,999.0
1228.27,999.0
1229.88,997.0
1231.49,1019.0
1233.1,987.0
1234.71,1035.0
1236.31,1003.0
1237.92,1011.0
1239.53,1007.0
1241.14,987.0
1242.74,1041.0
1244.35,999.0
1245.96,1003.0
1247.57,1015.0
1249.17,1045.0
1250.78,1019.0
1252.38,1069.0
1253.99,1057.0
1255.59,1033.0
1257.2,1079.0
1258.8,1075.0
1260.41,1117.0
1262.01,1099.0
1263.61,1109.0
1265.22,1057.0
1266.82,1115.0
1268.42,1165.0
1270.02,1127.0
1271.62,1187.0
1273.23,1167.0
1274.83,1185.0
1276.43,1191.0
1278.03,1175.0
1279.63,1227.0
1281.23,1221.0
1282.83,1211.0
1284.43,1215.0
1286.03,1235.0
1287.63,1235.0
1289.22,1231.0
1290.82,1283.0
1292.42,1221.0
1294.02,1249.0
1295.62,1253.0
1297.21,1225.0
1298.81,1283.0
1300.4,1291.0
1302.0,1263.0
1303.6,1251.0
1305.19,1287.0
1306.79,1313.0
1308.38,1297.0
1309.98,1273.0
1311.57,1271.0
1313.16,1315.0
1314.76,1297.0
1316.35,1289.0
1317.94,1293.0
1319.54,1321.0
1321.13,1329.0
1322.72,1319.0
1324.31,1289.0
1325.9,1299.0
1327.49,1287.0
1329.09,1265.0
1330.67,1247.0
1332.27,1269.0
1333.86,1281.0
1335.44,1251.0
1337.03,1245.0
1338.62,1257.0
1340.21,1257.0
1341.8,1261.0
1343.39,1197.0
1344.98,1243.0
1346.56,1207.0
1348.15,1221.0
1349.74,1291.0
1351.32,1235.0
1352.91,1241.0
1354.49,1219.0
1356.08,1191.0
1357.67,1171.0
1359.25,1191.0
1360.84,1147.0
1362.42,1153.0
1364.01,1119.0
1365.59,1119.0
1367.17,1157.0
1368.76,1067.0
1370.34,1093.0
1371.92,1093.0
1373.5,1103.0
1375.09,1069.0
1376.67,1069.0
1378.25,1029.0
1379.83,1081.0
1381.41,1041.0
1382.99,1025.0
1384.57,995.0
1386.15,985.0
1387.73,999.0
1389.31,985.0
1390.89,985.0
1392.47,957.0
1394.04,985.0
1395.62,985.0
1397.2,939.0
1398.78,947.0
1400.35,957.0
1401.93,947.0
1403.51,911.0
1405.08,939.0
1406.66,905.0
1408.24,949.0
1409.81,905.0
1411.39,891.0
1412.96,899.0
1414.54,883.0
1416.11,889.0
1417.68,905.0
1419.26,873.0
1420.83,875.0
1422.4,815.0
1423.97,857.0
1425.55,817.0
1427.12,839.0
1428.69,863.0
1430.26,851.0
1431.83,843.0
1433.4,849.0
1434.97,823.0
1436.54,809.0
1438.11,811.0
1439.68,821.0
1441.25,797.0
1442.82,789.0
1444.39,811.0
1445.96,769.0
1447.53,815.0
1449.09,807.0
1450.66,793.0
1452.23,809.0
1453.8,785.0
1455.36,793.0
1456.93,825.0
1458.49,777.0
1460.06,785.0
1461.63,765.0
1463.19,779.0
1464.76,799.0
1466.32,761.0
1467.89,759.0
1469.45,801.0
1471.01,781.0
1472.58,757.0
1474.14,751.0
1475.7,767.0
1477.26,765.0
1478.83,771.0
1480.39,735.0
1481.95,751.0
1483.51,773.0
1485.07,743.0
1486.63,755.0
1488.19,741.0
1489.75,745.0
1491.31,729.0
1492.87,713.0
1494.43,723.0
1495.99,747.0
1497.55,759.0
1499.11,737.0
1500.66,733.0
1502.22,745.0
1503.78,725.0
1505.34,737.0
1506.89,725.0
1508.45,729.0
1510.0,711.0
1511.56,757.0
1513.12,743.0
1514.67,745.0
1516.23,739.0
1517.78,723.0
1519.34,727.0
1520.89,735.0
1522.44,697.0
1524.0,719.0
1525.55,699.0
1527.1,743.0
1528.66,717.0
1530.21,723.0
1531.76,707.0
1533.31,713.0
1534.86,735.0
1536.42,685.0
1537.97,721.0
1539.52,711.0
1541.07,699.0
1542.62,707.0
1544.17,705.0
1545.72,689.0
1547.26,719.0
1548.81,723.0
1550.36,733.0
1551.91,689.0
1553.46,731.0
1555.01,725.0
1556.55,753.0
1558.1,739.0
1559.65,729.0
1561.19,721.0
1562.74,735.0
1564.29,733.0
1565.83,719.0
1567.38,715.0
1568.92,731.0
1570.46,683.0
1572.01,709.0
1573.55,697.0
1575.1,727.0
1576.64,715.0
1578.18,687.0
1579.73,673.0
1581.27,693.0
1582.81,681.0
1584.35,693.0
1585.9,691.0
1587.44,697.0
1588.98,721.0
1590.52,689.0
1592.06,693.0
1593.6,697.0
1595.14,705.0
1596.68,711.0
1598.22,673.0
1599.76,693.0
1601.3,675.0
1602.84,669.0
1604.37,679.0
1605.91,707.0
1607.45,665.0
1608.99,673.0
1610.52,671.0
1612.06,643.0
1613.6,705.0
1615.13,685.0
1616.67,663.0
1618.21,695.0
1619.74,685.0
1621.28,659.0
1622.81,671.0
1624.35,687.0
1625.88,667.0
1627.41,675.0
1628.95,675.0
1630.48,653.0
1632.01,637.0
1633.55,639.0
1635.08,665.0
1636.61,677.0
1638.14,665.0
1639.67,663.0
1641.21,659.0
1642.73,659.0
1644.27,665.0
1645.8,633.0
1647.33,709.0
1648.86,659.0
1650.39,695.0
1651.92,671.0
1653.44,657.0
1654.97,657.0
1656.5,655.0
1658.03,665.0
1659.56,667.0
1661.09,669.0
1662.61,661.0
1664.14,675.0
1665.67,617.0
1667.19,667.0
1668.72,641.0
1670.24,673.0
1671.77,675.0
1673.29,619.0
1674.82,663.0
1676.34,653.0
1677.87,633.0
1679.39,659.0
1680.92,687.0
1682.44,667.0
1683.96,661.0
1685.49,663.0
1687.01,637.0
1688.53,651.0
1690.05,657.0
1691.57,675.0
1693.1,633.0
1694.62,677.0
1696.14,719.0
1697.66,667.0
1699.18,623.0
1700.7,657.0
1702.22,661.0
1703.74,651.0
1705.26,643.0
1706.78,661.0
1708.3,651.0
1709.81,645.0
1711.33,673.0
1712.85,625.0
1714.37,655.0
1715.88,657.0
1717.4,633.0
1718.92,645.0
1720.43,657.0
1721.95,643.0
1723.47,699.0
1724.98,667.0
1726.5,643.0
