Chemical Shift,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
261.205,5.689893001203927e-16,0.15654032761230796,0.11852975584483519,0.012318843872492657,0.08382443642692267,-5.551115123125783e-16,0.029565096820622604,0.08693725662731773,0.014579302135421007,0.15031745776097077,0.14770552012504443,0.0319085906143409,0.0820679349583,0.05630933419962045,0.0940936113150466
261.107,-1.457167719820518e-16,0.1705798028178793,0.14759052623840416,0.009858681817622533,0.07872849068249616,-2.0122792321330962e-16,0.10329009414272336,0.11603331663269582,0.006516739466341867,0.12239293107111548,0.18692632086235367,0.04403121746138507,0.059219574786593704,0.09082247416858619,0.09777116314090235
261.01,0.005031748878020055,0.16566866705402156,0.1745414665991163,0.04723353099918487,0.07305731361166574,0.00023892384202164885,0.12122883026887966,0.12069997810308507,-4.0592529337857286e-16,0.06418170617485498,0.16349963453668054,0.06968463452788105,0.027624496757256756,0.08994565697812777,0.10226995488491746
260.912,0.021941280267318362,0.1606700771259916,0.19687509879970014,0.07062888301383186,0.07038119316000233,0.00313910891842489,0.13895268076783723,0.1325866662428012,1.2420620087993939e-15,0.013487691891267823,0.12723541682926143,0.10776213809903488,0.0015201564214583074,0.07601805562135647,0.12317393429527532
260.814,0.026020137551570302,0.15880774259377217,0.20623282518176972,0.07903280090596249,0.0748826505576827,0.025831606265370788,0.1674745847968149,0.13180391129868335,0.004895197231871342,-4.969982758673552e-16,0.10042744559985131,0.12870795055064516,4.0245584642661925e-16,0.06874329572036572,0.1450854995555606
260.716,0.018324549987618503,0.15598581776555814,0.21240307816744336,0.08182716742045015,0.0661169715497648,0.06534144519425644,0.1912464982910726,0.11323365043078072,0.018480932246605193,7.945033519973776e-16,0.09665070809619655,0.11876864033940879,-8.881784197001252e-16,0.07385053849512457,0.1575957281442273
260.618,0.011743024664576003,0.16303556218149232,0.21970326298322898,0.08509600921337482,0.04101013588214608,0.08665401716574869,0.2181886234825216,0.10034589816246514,0.034450640606556705,0.013754039498229996,0.14408733342744653,0.09923420740256747,-1.0061396160665481e-16,0.09046088075723024,0.14939943186521712
260.52,0.023482018594833606,0.1427349939321574,0.20848599458905237,0.09789914490764684,0.0023981458890175757,0.08568074540543652,0.22203145179998313,0.10664335322791599,0.06824455827416039,0.038079626646517185,0.15835018027228515,0.06892330197409757,0.0019373120983357875,0.10768137050363738,0.13248780874050944
260.423,0.046845322475570675,0.12297627826102656,0.17481992103616212,0.1106882624872218,6.002143226879753e-16,0.09183568377567772,0.22047023263846632,0.12563113696359024,0.08549224790426938,0.0792423199438329,0.15132416565450085,0.028468258364764288,0.00933870771535876,0.11631084683212048,0.11351673130839184
260.325,0.06630718136658895,0.10915684620939,0.1702561550885289,0.11163968231814514,0.0011200467375334765,0.09616003374258723,0.23113875687119312,0.13071214963203479,0.08728884108948243,0.0743290844624977,0.12070561540869384,-7.945033519973776e-16,0.017892960945822427,0.11794265879011168,0.09369098440634649
260.227,0.07229060777700165,0.09353850196587522,0.1743996443880717,0.09841839672473258,0.008007655845054008,0.09364820253128255,0.23439300845344166,0.11484672089846093,0.0955050659152972,0.033358868502819314,0.09273234703031791,8.465450562766819e-16,0.02155073967420848,0.1271302854567248,0.08380885239447175
260.129,0.06741880045195207,0.08827364241790535,0.17286752156191468,0.08919053909624919,0.01931690363606943,0.09547690974721107,0.2312616739223987,0.10872065228854534,0.1052837169834959,6.071532165918825e-16,0.07617181243726784,-7.840950111415168e-16,0.038731973669417524,0.1407043189091719,0.08866087002176695
260.031,0.06375271849068864,0.08158687607061532,0.15544057324927224,0.07657216608418085,0.026542104024378434,0.10913215444860835,0.22231060934932723,0.11787945229454294,0.10796207313721297,-1.547373340571312e-15,0.07396500203291487,-8.881784197001252e-16,0.05041476388369974,0.15577608971943163,0.09154678038925668
259.934,0.06839025544385978,0.08191003709659252,0.13610626385316615,0.05456134057245582,0.04494201548873485,0.10861622125858411,0.23504388053511993,0.1402249510852175,0.10476357682732651,3.0531133177191805e-16,0.11852890505003227,5.551115123125783e-17,0.06631654128320098,0.16751929397148707,0.0866473585688317
259.836,0.07257690812214736,0.05855714314336506,0.12324693657983996,0.013857064046875152,0.07386213723269638,0.09935737725566274,0.2208618189573982,0.1559118206369865,0.09065547750342381,0.01300922106975372,0.14274929799316838,3.469446951953614e-17,0.06257654758125085,0.15524012965281944,0.06330566901290441
259.738,0.0716229245317249,0.049687315826618186,0.11207970669179215,4.0939474033052647e-16,0.09346833620417393,0.10365669904357527,0.21209271168520497,0.14104643126848376,0.0735636583619321,0.04765855926347079,0.16322585555317298,0.0044900646767857405,0.05170887429730346,0.13184640364357308,0.04362649949662116
259.64,0.06182072389598019,0.059387640846006375,0.1110751107259568,-1.1657341758564144e-15,0.09095604023676206,0.12749588071000095,0.21037225207037025,0.13709343368752896,0.042548378632905635,0.07800297966476652,0.17085046774499746,0.011039650537677179,0.05058810262554108,0.11715206613771562,0.04026133683888034
259.542,0.04168978776118236,0.07717412150211217,0.12562816123683923,6.938893903907228e-17,0.08661745156717968,0.16938733988379467,0.2179851325097062,0.15514250111136374,0.00396373893146032,0.1003202017368669,0.1765703082702843,0.023160333136597683,0.04139770731937875,0.10687431236615662,0.051070472186245025
259.444,0.026271047541226188,0.09201198930929747,0.12567126435033038,-9.020562075079397e-16,0.0980463309817144,0.18888842758710178,0.23993862764495547,0.18871407144905927,-1.0130785099704553e-15,0.1104948707892555,0.18072076558176745,0.04711714978863471,0.07192780653932111,0.09970198482806727,0.059092523763809746
259.347,0.018757019667130094,0.09541688030794467,0.11212520541012688,-8.326672684688674e-17,0.10622022911999711,0.17490351779233532,0.27674568743966976,0.21678783426967105,-3.8163916471489756e-16,0.11793619890418922,0.20945050131880383,0.06050344719019177,0.09880881999440687,0.09654554117778764,0.05563149947293076
259.249,0.014460309600636961,0.07143033785863337,0.0942758895676028,0.004009777763814434,0.09006128591986166,0.1550418130307622,0.3116003829859909,0.2440721683004246,0.03127903462749608,0.1111760381493176,0.23884905420251315,0.06387219928467751,0.11538473313247823,0.10689157750040316,0.05255355329047513
259.151,0.01477444342207343,0.04275431799045733,0.09570299114617772,0.023604119465980462,0.0782901181361636,0.17962143335442787,0.3262841155103582,0.2671356817088159,0.06770540712989938,0.10368246583235305,0.2710175938449554,0.08819627439847491,0.11482155470298218,0.1228276981316822,0.049151780583362614
259.053,0.015042842937950204,0.014723912447389381,0.11530981227821924,0.05541498562831086,0.055409548836573695,0.2079823465726923,0.32512141572195963,0.28540912297496007,0.09810010477907052,0.08679644883204497,0.2963031371372236,0.09934350612363296,0.10049309702540057,0.13695149402599474,0.04293715758128079
258.955,0.013051720552295518,0.00028669717740942985,0.14269266172781359,0.07506656957099145,0.033206927385515596,0.23762330379614935,0.30824323603018544,0.2834464085633437,0.11877845334707728,0.06659778682438025,0.33561853902393507,0.10090929308505119,0.0883911345037249,0.14225442388713322,0.030414156233445615
258.858,0.014799829689683214,-3.3306690738754696e-16,0.15416206719709608,0.08343450044779148,0.02346817028050473,0.26684846759719383,0.2644747487035604,0.27201405544981416,0.11951289423477789,0.06540239792599734,0.340280438573873,0.10881459219303453,0.06795117944811166,0.1433566446229138,0.021357862563603884
258.76,0.03509320952302629,3.7470027081099033e-16,0.14250442234743022,0.07890687505033901,0.01177957052548817,0.2581330659318528,0.2245992221704086,0.2652207124510805,0.11373579562527639,0.0751646076688366,0.33028668024512364,0.13485930355056178,0.035195949666485975,0.1343784250584991,0.00576186534677995
258.662,0.06995455241913587,0.01023492538580792,0.1326399327271322,0.08599206573671334,0.022741139083126954,0.21809341689705566,0.1995940595956509,0.25300826165255563,0.08770551838482286,0.09702543358181898,0.31720482595647725,0.15777776876004662,0.006420450100017335,0.12357896788821082,-7.216449660063518e-16
